day,date,time,beg_time,end_time,location,id,session,type,sponsor,url,beg_time_round,end_time_round
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 210,326,Will Administrative Data Save Government Surveys?,Invited Panel,"Social Statistics Section, Government Statistics Section, Survey Research Methods Section",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215005,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 215/216,327,Statistical Leadership: Insights from Experiences of Prominent Leaders,Invited Panel,"Caucus for Women in Statistics, International Indian Statistical Association, Section on Statistical Consulting",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215212,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-East 10,328,What Should Be the Role of Collaboration/Consulting for Applied Statistical Faculty Members in Academia: Rewards and Punishments ,Invited Panel,"Section on Statistical Consulting, ASA Caucus of Academic Representatives, Business Analytics/Statistics Education Interest Group, Section on Teaching of Statistics in the Health Sciences",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215291,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 121,329,Novel Developments in Functional Data Analysis,Topic Contributed Papers,"Section on Statistical Learning and Data Science, Biometrics Section, Section on Nonparametric Statistics",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215235,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-East 19,330,Bayesian Analysis of Latent Variable Models in Economics,Topic Contributed Papers,"Business and Economic Statistics Section, Section on Bayesian Statistical Science, International Society for Bayesian Analysis (ISBA)",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215306,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 206/207,331,Statistical and Practical Issues for Reproducible Molecular Prediction in Biomedical Studies,Topic Contributed Papers,ENAR,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215438,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 114,332,Power of Adaptive Design in Controlling Survey Errors and Costs,Topic Contributed Papers,"Government Statistics Section, Survey Research Methods Section",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215463,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 116,333,Section on Nonparametric Statistics - Student Paper Awards,Topic Contributed Papers,Section on Nonparametric Statistics,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215467,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-East 9,334,"Statistical Methods in Astronomy, Astrophysics and Cosmology",Topic Contributed Papers,Astrostatistics Special Interest Group,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215520,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 221,335,ASA Biometrics Section JSM Travel Awards (II),Topic Contributed Papers,Biometrics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215538,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 224,336,Surrogate Endpoints: Bridging the Roles of Biology and Statistics for Clinical Outcome Prediction,Topic Contributed Papers,Biopharmaceutical Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215545,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 222,337,Causal Inference for Complex Data Challenges,Topic Contributed Papers,Biometrics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215571,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 214,338,BIOP Student Paper Awards,Topic Contributed Papers,Biopharmaceutical Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215594,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 205,339,Official Statistics and Small Area Estimation,Topic Contributed Papers,Survey Research Methods Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215600,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 208,340,"SPEED: Applications of Advanced Statistical Techniques in Complex Survey Data Analysis: Small Area Estimation, Propensity Scores, Multilevel Models, and More",Contributed Speed,Survey Research Methods Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215606,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 212,341,SPEED: Classification and Data Science,Contributed Speed,"Section on Statistical Learning and Data Science, SSC",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215808,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 209,342,SPEED: Sports to Fire: Fascinating Applications of Statistics,Contributed Speed,"Section on Statistics in Sports,  SSC, Section on Statistics in Imaging, Section on Statistical Computing, Section on Statistical Consulting, Section on Statistical Learning and Data Science, Section on Statistics in Epidemiology, Statistical Auditing Interest Group, Transportation Statistics Interest Group, Section on Teaching of Statistics in the Health Sciences, Section for Statistical Programmers and Analysts",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215809,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 213,343,"SPEED: Tests, Trials, Biomarkers, and Other Topics in Biometrics",Contributed Speed,"Biometrics Section,  Biopharmaceutical Section, ENAR",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215811,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 223,344,Semiparametric Modeling,Contributed Papers,Biometrics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215631,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 117,345,Theory and Methods for Multivariate Analysis,Contributed Papers,IMS,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215648,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 115,346,Recent Advances in Nonparametric Statistical Methods,Contributed Papers,Section on Nonparametric Statistics,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215662,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-East 16,347,Machine Learning and Applications in Complex Engineering Systems,Contributed Papers,"Section on Physical and Engineering Sciences, SSC",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215669,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 112,348,Investigations into the Teaching and Learning of Statistics,Contributed Papers,"Section on Statistical Education, Business Analytics/Statistics Education Interest Group",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215676,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 202,349,"Longitudinal, Spatial, and Bayesian Methods",Contributed Papers,Section on Statistics in Epidemiology,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215691,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 304/305,350,Statistical Issues In Drug Development - 1,Contributed Papers,Biopharmaceutical Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215701,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 219,351,Statistical Issues Specific the Therapeutic Areas- 3,Contributed Papers,Biopharmaceutical Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215716,10,13
Tue,7/31/2018,10:30 AM - 12:30 PM,10:30 AM,12:30 PM,CC-East 14,352,Clinical Trials: Recent Advances in Design and Inference,Contributed Papers,Korean International Statistical Society,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215730,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 122,353,Data Science,Contributed Papers,Section on Statistical Computing,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215744,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 119,354,Topics in Machine Learning,Contributed Papers,Section on Statistical Learning and Data Science,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215761,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 218,355,Analysis of Complex Genetic Data,Contributed Papers,Section on Statistics in Genomics and Genetics,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215772,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 217,356,Innovative Analysis Methods for Various Types of High-Throughput and Heterogeneous Data,Contributed Papers,Section on Statistics in Genomics and Genetics,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215776,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West 204,357,Issues in Survey Design and Estimation,Contributed Papers,"Survey Research Methods Section, Social Statistics Section",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215792,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West Hall B,358,Contributed Poster Presentations: Biometrics Section,Contributed Poster Presentations,Biometrics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215892,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West Hall B,359,Contributed Poster Presentations: Biopharmacutical Section,Contributed Poster Presentations,Biopharmaceutical Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215922,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West Hall B,360,Contributed Poster Presentations: ENAR,Contributed Poster Presentations,ENAR,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215923,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West Hall B,361,Contributed Poster Presentations: WNAR,Contributed Poster Presentations,WNAR,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215924,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West Hall B,362,Contributed Poster Presentations: Mental Health Statistics Section,Contributed Poster Presentations,Mental Health Statistics Section,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215925,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West Hall B,363,Contributed Poster Presentations: Statistics and Pharmacometrics Interest Group,Contributed Poster Presentations,Statistics and Pharmacometrics Interest Group,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215926,10,13
Tue,7/31/2018,10:30 AM - 12:20 PM,10:30 AM,12:20 PM,CC-West Hall B,364,Contributed Poster Presentations: Section on Medical Devices and Diagnostics,Contributed Poster Presentations,Section on Medical Devices and Diagnostics,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215928,10,13
Tue,7/31/2018,10:30 AM - 11:15 AM,10:30 AM,11:15 AM,CC-West Hall B,365,"SPEED: Innovations in Survey Sampling Designs: Administrative Data, Record Linkage, Non-Probability Samples, and More",Contributed Poster Presentations,"Survey Research Methods Section,  Government Statistics Section, International Statistical Institute",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215948,10,12
Tue,7/31/2018,10:30 AM - 11:15 AM,10:30 AM,11:15 AM,CC-West Hall B,366,SPEED: Recent Advances in Statistical Genomics and Genetics,Contributed Poster Presentations,"Biometrics Section,  Section on Statistics in Genomics and Genetics, Section on Teaching of Statistics in the Health Sciences",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215949,10,12
Tue,7/31/2018,11:35 AM - 12:20 PM,11:35 AM,12:20 PM,CC-West Hall B,367,SPEED: Statistical Epidemiology,Contributed Poster Presentations,"Section on Statistics in Epidemiology, Section on Teaching of Statistics in the Health Sciences, Section on Medical Devices and Diagnostics",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215950,11,13
Tue,7/31/2018,11:35 AM - 12:20 PM,11:35 AM,12:20 PM,CC-West Hall B,368,SPEED: Statistics for Biopharmaceutical Studies,Contributed Poster Presentations,"Biopharmaceutical Section, Section on Bayesian Statistical Science",http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=215951,11,13
Tue,7/31/2018,12:00 PM - 1:00 PM,12:00 PM,1:00 PM,CC-West 113,216540,Ad Hoc Leadership Committee Business Meeting,Other,ASA,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216540,12,13
Tue,7/31/2018,12:00 PM - 1:30 PM,12:00 PM,1:30 PM,F-Princess Louisa Suite,216580,Helen Walker Society Luncheon,Other,ASA,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216580,12,14
Tue,7/31/2018,12:00 PM - 1:30 PM,12:00 PM,1:30 PM,F-Douglas Boardroom,216584,ASA Finance Committee Meeting (Closed),Other,Finance Committee,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216584,12,14
Tue,7/31/2018,12:00 PM - 1:30 PM,12:00 PM,1:30 PM,CC-West 107,216799,Sandia National Labs Networking Event,Other,Sandia National Labs,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216799,12,14
Tue,7/31/2018,12:30 PM - 4:00 PM,12:30 PM,4:00 PM,F-Mackenzie I,216426,RAB and RECOM Lunch Meeting,Other,ENAR,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216426,12,16
Tue,7/31/2018,12:30 PM - 2:30 PM,12:30 PM,2:30 PM,CC-West 302,216488,TAS Editor's Lunch,Other,The American Statistician,http://ww2.amstat.org/meetings/jsm/2018/onlineprogram/ActivityDetails.cfm?SessionID=216488,12,15
